"trade_count","current_datetime","currency","volume","buy_exchange","buy_price","total_purchase_amount","sell_exchange","sell_price","total_sale_amount","profit","spread_percentage","wallet_balance"
4197,"2024-04-11T00:41:43.617045","polygon",1056.0767457316795,"Poloniex",0.88317,932.6952995278474,"Binanceus",0.8878,937.5849348605851,4.8896353327377255,0.5242478797966442,2176.289032231644
4198,"2024-04-11T00:42:12.056411","polygon",1057.7376837162367,"Poloniex",0.88317,934.1621901276687,"Binanceus",0.8875,938.74219429816,4.580004170491293,0.49027933466942325,2179.71177696456
4199,"2024-04-11T00:42:41.293502","polygon",1059.2934444997181,"Poloniex",0.88317,935.536191378816,"Binanceus",0.8875,940.1229319934998,4.586740614683777,0.49027933466942325,2182.917779883904
4200,"2024-04-11T00:43:09.883949","polygon",1060.851493555285,"Poloniex",0.88317,936.9122135632211,"Binanceus",0.8875,941.5057005303155,4.59348696709435,0.49027933466942325,2186.1284983141827
4201,"2024-04-11T00:43:39.181245","polygon",1062.4118342486152,"Poloniex",0.88317,938.2902596533495,"Binanceus",0.8874,942.784261712221,4.4940020588715015,0.4789564862936871,2189.343939191149
4202,"2024-04-11T00:44:08.323986","polygon",1063.9383813660008,"Poloniex",0.88317,939.638460271011,"Binanceus",0.8872,943.9261319479159,4.287671676904893,0.4563107895422147,2192.489740632359
4203,"2024-04-11T00:44:37.139219","polygon",1065.3948410544767,"Poloniex",0.88317,940.9247617740822,"Binanceus",0.8864,944.3659871106881,3.441225336605953,0.36572800253631293,2195.4911108061924
4204,"2024-04-11T00:45:05.758305","polygon",1066.5637752358707,"Poloniex",0.88317,941.9571293750639,"Binanceus",0.8866,945.615443124123,3.6583137490590616,0.3883736992877978,2197.8999685418166
4205,"2024-04-11T00:45:34.134431","polygon",1067.806451192615,"Poloniex",0.88317,943.0546234997818,"Binanceus",0.8866,946.7171996273725,3.6625761275906825,0.3883736992877978,2200.4607881661577
4206,"2024-04-11T00:46:02.752733","polygon",1069.0505750173343,"Poloniex",0.88317,944.1533963380591,"Binanceus",0.887,948.2478600403755,4.094463702316375,0.43366509279074245,2203.0245914554716
4207,"2024-04-11T00:46:31.435038","polygon",1070.4414047677728,"Poloniex",0.88317,945.381735448754,"Binanceus",0.8872,949.695614309968,4.313878861214107,0.4563107895422147,2205.8907160470926
4208,"2024-04-11T00:46:59.975047","polygon",1071.9067666554774,"Poloniex",0.88317,946.675899107118,"Binanceus",0.8872,950.9956833767395,4.31978426962155,0.4563107895422147,2208.9104312499426
4209,"2024-04-11T00:47:28.313106","polygon",1073.374134524502,"Poloniex",0.88317,947.9718343880045,"Binanceus",0.8866,951.6535076694236,3.68167328141908,0.3883736992877978,2211.9342802386777
4210,"2024-04-11T00:47:56.988081","polygon",1074.6247453745375,"Poloniex",0.88317,949.0763363724303,"Binanceus",0.8862,952.3324493509151,3.2561129784847935,0.34308230578484067,2214.511451535671
4211,"2024-04-11T00:48:26.136030","polygon",1075.7307995810272,"Poloniex",0.88317,950.0531702659758,"Binanceus",0.8862,953.3126345887063,3.259464322730423,0.34308230578484067,2216.7907306206102
4212,"2024-04-11T00:48:54.640615","polygon",1076.8379921903993,"Poloniex",0.88317,951.0310095627949,"Binanceus",0.8862,954.2938286791318,3.262819116336914,0.34308230578484067,2219.072355646522
4213,"2024-04-11T00:49:23.182642","polygon",1077.9463243743514,"Poloniex",0.88317,952.0098552976959,"Binanceus",0.8856,954.6292648659257,2.6194095682297984,0.2751452155304237,2221.356329027957
4214,"2024-04-11T00:50:21.176873","polygon",1078.8360996956021,"Poloniex",0.88317,952.795678168165,"Binanceus",0.8856,955.4172498904253,2.6215717222603416,0.2751452155304237,2223.189915725718
